Gene,Half-life
YAL026C,33.52046150807705
YDR148C,39.49862347163645
YIL125W,42.858031914489736
YLR240W,37.966145414435154
YCL009C,39.470344091525064
YMR108W,37.09801532692004
YNR044W,46.29714361642973
YGL032C,16.45568760138468
YMR261C,120.72800938586965
YBR126C,34.19190904182236
YDR074W,35.35612045610154
YML100W,61.63663423143898
YPL074W,29.730033509190363
YLR102C,101.40788212035393
YNL172W,17.374687935160903
YDR118W,218.4109801423128
YDL008W,136.61769807444978
YLR127C,12.115526463889015
YBL084C,46.74456208456994
YHR166C,50.94797867413942
YOR249C,15.892000533556194
YFR036W,25.172994476673438
YKL022C,44.817238487798264
YGL240W,44.77133666901991
YER090W,29.276091299463577
YKL211C,20.757701911095673
YPL111W,22.772057834784373
YOR303W,79.9870894014121
YJR109C,39.69149378575312
YPR018W,21.219762210945312
YML102W,15.30183081028235
YBR195C,15.591535303244962
YDR080W,42.07461147037254
YDL077C,24.00958028592569
YHR060W,13.969423046288114
YKL119C,36.32393939435681
YKL190W,17.873083454897763
YML057W,21.378815713742682
YLR433C,20.94746220875793
YIL033C,24.978194447270596
YPL203W,23.561501900433488
YKL166C,28.125271779772717
YJL164C,15.942271208414105
YHR135C,15.731797163463765
YPL204W,24.0142479068311
YER123W,29.218907845222162
YOR061W,17.654583366026586
YIL035C,22.01611177787511
YOR039W,32.09614254172261
YGL019W,31.200346769661227
YJR064W,17.93086916136928
YJL014W,24.56275823770048
YDR188W,13.913644673529339
YIL142W,29.89703200243541
YDR212W,21.307343594496547
YJL111W,29.009170214383218
YJL008C,18.75057984725363
YDL143W,31.026484843580054
YBL039C,19.707786960630436
YAL040C,30.84863593722427
YMR199W,21.322895976272044
YGR109C,29.37676170497025
YGR108W,14.52308473809858
YPL256C,20.237475161678038
YBR160W,27.041768382594313
YPR119W,20.499563853054603
YLR210W,25.906906057605127
YPR120C,19.141155438945283
YDL155W,34.829063919164675
YPL031C,30.65047067100986
YDL127W,31.29940785325516
YOL001W,35.0043923937549
YPL219W,13.241961757446184
YNL289W,24.423798942857626
YGL134W,30.705593630339916
YDR443C,20.780398780974384
YCR081W,73.90466136217275
YNL025C,27.769581191597027
YPL042C,13.825367174702441
YBR149W,23.510650093572647
YLR284C,19.6269416317773
YDR166C,41.10461138191811
YER008C,56.51190696105944
YGL233W,32.45587058885241
YLR166C,55.01388221072103
YPR055W,106.82773881601425
YIL068C,27.366768655812276
YKL182W,35.579711310797286
YPL231W,28.72555012027401
YOR221C,29.306972762983396
YPL262W,69.22093496445837
YEL003W,25.263134314431507
YNL153C,25.619890710677108
YLR200W,21.5306881644029
YML094W,15.844095652806521
YGR078C,23.159851930656686
YDL090C,23.60525028943593
YGL155W,15.734619716279989
YOR370C,18.55225610886833
YJL031C,133.998192854056
YPR176C,32.62869247508657
YLR342W,37.55158747847588
YCR034W,13.811567234964278
YGR032W,32.03628605092742
YPR159W,28.54603581549391
YGR143W,28.2903515660162
YAL044C,43.330429384808376
YDR019C,84.53451680837122
YMR189W,59.08523039135604
YGL008C,21.97083449497565
YEL017C-A,28.132794341329458
YPL036W,33.98547721323127
YCR024C-A,19.2660990050874
YLR447C,20.47556686115347
YBR127C,44.55712814260446
YKL080W,25.668119103041917
YEL027W,23.555162033125203
YPR036W,33.049866728208244
YHR039C-A,24.261429442914366
YEL051W,21.548276746116645
YGR020C,26.296255595487008
YDL185W,49.986740851864226
YHR026W,27.60732351113454
YOR270C,31.38346202096713
YPL234C,22.349622467999595
YMR054W,29.108555134015347
YGL253W,20.055481088983395
YPL001W,32.52823629644013
YEL056W,29.35893961684496
YNL021W,21.962151972953198
YMR263W,12.42934565892547
YOR136W,26.635360715133686
YNL037C,37.84724623189007
YER065C,22.12404963707734
YGR167W,22.54511543384889
YGL206C,25.870208018652455
YBR097W,29.448568691855915
YBR080C,25.247655917564412
YBL050W,41.7979014446878
YKL196C,18.474529654921046
YKR068C,26.926295405936333
YDR472W,52.37361876684434
YBR254C,17.131807032565074
YOR115C,31.703508110051988
YML077W,32.11332445075293
YGR166W,31.70360917765355
YDR246W,38.14771085829042
YMR218C,31.054329779673765
YDR108W,40.325235270037766
YDR407C,95.19833690843704
YLR025W,37.738323843238035
YPR173C,18.246157778565564
YKL041W,23.719266022938438
YLR148W,32.381565543620184
YPL045W,42.04381492509801
YLR396C,42.37381622290737
YMR231W,39.495938371024465
YJR065C,28.585014300526144
YIL062C,24.945850131697284
YLR370C,21.184388716012254
YKL013C,21.252210726066384
YNR035C,53.30353651396456
YGR238C,79.65987145665088
YHR158C,23.979463571401215
YGR140W,19.959800726221832
YMR094W,42.79381178704687
YMR168C,26.89317472748052
YKL049C,19.36541762181177
YKL089W,13.510783048079183
YBR115C,23.209518416957923
YGL154C,24.009884761012167
YGR082W,16.711826906729506
YNL131W,17.345959775230476
YNL070W,22.859458442500088
YOR045W,27.059920779070524
YMR203W,25.071404593377988
YNL121C,18.19011516506822
YMR060C,19.416121269001575
YHR117W,17.286134518852716
YAL009W,43.430813160043606
YHR004C,35.713026452619204
YMR080C,15.425101389589528
YGR072W,28.336498076762503
YHR077C,30.069149687283304
YLR335W,22.91092756379693
YBL079W,27.8109365563766
YIL115C,38.756436220686176
YML103C,26.830658656687113
YDR192C,19.037279178050916
YMR129W,21.680678880594826
YKR082W,69.0634161581327
YOR098C,19.883632719245806
YER105C,42.518046857123394
YMR047C,51.30084085723569
YKL068W,26.685498536415253
YER107C,26.903894514392512
YGR119C,32.3178494883987
YGL172W,29.36301617924325
YJL061W,39.1213987914914
YGL092W,28.649542952588423
YGL100W,14.010849895592338
YKL057C,27.660678724407415
YJR042W,24.768790729179102
YDL116W,19.543614071949445
YDR224C,17.291624534105484
YBR010W,15.385320739822667
YNL030W,13.098820143075526
YDR225W,13.756965993015836
YBL002W,14.108985407444395
YBL003C,14.952919672968864
YBR009C,15.63644260034917
YNL031C,16.394061641590422
YJL088W,40.203268760376076
YLR060W,27.5819384857373
